OBJECTID,NUTS_ID,Id,name,areas_sqm,Shape_Leng,Shape_Area,_mean,_stdev
146,PT15,PT150000,PT150000,"4992,580187","481293,5134",4992580184,"0,313403716","0,065253217"
145,EL42,EL420000,EL420000,"4664,754453","2146173,447",4664754454,"0,31805384","0,036055246"
144,HR,HR000000,HR000000,"56089,86609","5463339,842",56089866074,"0,322134078","0,039173827"
151,RO04,RO040000,RO040000,"28948,62475","925964,7402",28948624748,"0,320457079","0,018644232"
150,PL33,PL330000,PL330000,"11676,92203","738853,231",11676922026,"0,259691609","0,063211383"
149,IT71,IT710000,IT710000,"10791,01163","615373,4894",10791011636,"0,282544255","0,062147667"
148,UKJ,UKJ00000,UKJ00000,"19074,94765","1627281,596",19074947642,"0,291922797","0,056277837"
155,ES13,ES130000,ES130000,"5307,043347","634842,2807",5307043345,"0,329794451","0,004569106"
154,AT31,AT310000,AT310000,"11990,77525","821293,0072",11990775245,"0,270430878","0,064650792"
153,HU33,HU330000,HU330000,"18332,90614","1037443,331",18332906161,"0,259102495","0,072818183"
159,SK02,SK020000,SK020000,"14991,12477","892416,6285",14991124767,"0,258966412","0,079855244"
158,LT,LT000000,LT000000,"64892,03636","1692736,691",64892036352,"0,322146725","0,016483052"
157,FI13,FI130000,FI130000,"83505,7232","3059201,462",83505723210,"0,284948893","0,068307696"
156,SE09,SE090000,SE090000,"35302,44175","2572803,007",35302441745,"0,278997386","0,062321654"
227,BL4,BL400000,BL400000,"2595,88125","343704,9932",2595881254,"0,284406057","0,062188523"
226,ITA,ITA00000,ITA00000,"25532,96546","1090568,315",25532965454,"0,249685087","0,062358677"
225,DE22,DE220000,DE220000,"10326,16761","778595,5832",10326167608,"0,24042907","0,060176986"
224,FR62,FR620000,FR620000,"45559,19945","1787356,724",45559199465,"0,288830486","0,065735809"
231,DEE,DEE00000,DEE10000,"20549,55619","1152146,339",20549556185,"0,235140641","0,056732005"
230,LV,LV000000,LV000000,"64603,28232","1781301,046",64603282312,"0,323280793","0,017821955"
229,NL22,NL220000,NL220000,"5136,840613","544547,9486",5136840612,"0,320702995","0,033498924"
235,PL52,PL520000,PL520000,"9403,832783","707150,7641",9403832781,"0,217255334","0,044257678"
234,PL34,PL340000,PL340000,"20182,56887","886293,3329",20182568871,"0,316576792","0,030126371"
233,CZ03,CZ030000,CZ030000,"17612,85637","1110430,21",17612856375,"0,320167839","0,071323325"
232,UKF,UKF00000,UKF00000,"15640,53828","978516,4448",15640538276,"0,236452278","0,058084034"
239,RO02,RO020000,RO020000,"35206,32847","1347011,903",35206328458,"0,320361949","0,014837291"
238,IT6,IT600000,IT600000,"17203,58314","1008967,222",17203583139,"0,255803308","0,064160924"
237,RO07,RO070000,RO070000,"33811,18883","956567,6466",33811188830,"0,319634865","0,028229431"
236,ES51,ES510000,ES510000,"32101,55301","1293185,419",32101553023,"0,260340449","0,062458558"
244,DE6,DE600000,DE600000,"748,0549707","194760,1316","748054970,5","0,298883729","0,053835761"
242,BL31,BL310000,BL310000,"1097,173453","258883,1178",1097173453,"0,236125516","0,073048943"
241,IT93,IT930000,IT930000,"15071,46392","825927,4525",15071463930,"0,282445431","0,060352906"
240,CZ01,CZ010000,CZ010000,"496,5323421","150924,8014",496532342,"0,249822488","0,085750934"
248,HU22,HU220000,HU220000,"11159,49302","908827,3408",11159493017,"0,238749453","0,068981355"
247,DE3,DE300000,DE300000,"889,8173072","215383,1219",889817307,"0,269333342","0,0648554"
245,UKD,UKD00000,UKD00000,"14150,79582","1281146,251",14150795822,"0,311567775","0,044711645"
252,PL41,PL410000,PL410000,"29835,95794","1439017,026",29835957935,"0,25630831","0,061979797"
249,DE93,DE930000,DE930000,"15594,63823","878613,8739",15594638224,"0,252025525","0,063579158"
256,IT53,IT530000,IT530000,"9733,047422","681886,0252",9733047417,"0,272476603","0,062503995"
255,EL25,EL250000,EL250000,"15458,05251","1334578,675",15458052506,"0,3304931","0,054135061"
254,ES21,ES210000,ES210000,"7533,021192","726676,7056",7533021189,"0,281626291","0,062115879"
253,SK03,SK030000,SK030000,"16242,35771","907404,4913",16242357703,"0,348272286","0,058120838"
194,UKL,UKL00000,UKL00000,"20790,15307","1876627,201",20790153069,"0,324476785","0,02551873"
193,DEA4,DEA40000,DEA40000,"6524,895997","599865,8905",6524895995,"0,228662441","0,053891556"
192,FR82,FR820000,FR820000,"31798,72834","1633875,782",31798728344,"0,303968129","0,078302634"
199,DE92,DE920000,DE920000,"9064,764368","852976,235",9064764366,"0,224250875","0,050264101"
198,SE08,SE080000,SE080000,"164655,8103","3297599,96","1,64656E+11","0,326089297","0,03692839"
197,SE01,SE010000,SE010000,"5944,781786","1976508,296",5944781786,"0,322521399","0,005567468"
196,ES23,ES230000,ES230000,"5048,569233","554572,943",5048569231,"0,259995791","0,063327125"
203,PT17,PT170000,PT170000,"2708,881497","483485,2921",2708881495,"0,297967779","0,075536204"
202,DED,DED00000,DED00000,"18462,17235","1230231,945",18462172350,"0,243293925","0,060504401"
201,NL33,NL330000,NL330000,"3098,867181","438894,3292",3098867181,"0,275319744","0,064175569"
200,HU32,HU320000,HU320000,"17711,38883","1134851,775",17711388835,"0,268208544","0,066713743"
207,SK01,SK010000,SK010000,"2050,967461","288002,0886",2050967461,"0,290976392","0,069192236"
206,FR71,FR710000,FR710000,"44857,35412","1814613,052",44857354106,"0,30845815","0,06344405"
205,PL51,PL510000,PL510000,"19936,52047","1104365,392",19936520461,"0,225344113","0,051767123"
204,FR26,FR260000,FR260000,"31754,16456","1354710,89",31754164560,"0,276979538","0,066262707"
211,BL23,BL230000,BL230000,"3008,270262","378984,6147",3008270261,"0,333492686","0,102229277"
210,BL21,BL210000,BL210000,"2872,894905","347433,2447",2872894905,"0,351331987","0,083771297"
209,AT33,AT330000,AT330000,"12633,20283","986543,8542",12633202829,"0,326401686","0,023405077"
208,DE94,DE940000,DE940000,"14837,53453","862708,3508",14837534528,"0,248631813","0,062976206"
215,DEB2,DEB20000,DEB20000,"4928,646321","482217,9839",4928646324,"0,280500009","0,062867253"
214,ES43,ES430000,ES430000,"41633,77634","1306382,862",41633776337,"0,332725528","0,090938456"
213,SE06,SE060000,SE060000,"69379,17053","2738276,525",69379170524,"0,29268044","0,052883308"
212,BG02,BG020000,BG020000,"17750,91393","782573,5419",17750913924,"0,324544154","0,014445271"
219,BL33,BL330000,BL330000,"3856,368803","478448,508",3856368802,"0,306638305","0,08499172"
218,IT52,IT520000,IT520000,"8456,797854","627406,8407",8456797850,"0,268835637","0,06311122"
217,FR24,FR240000,FR240000,"39530,55638","1421066,681",39530556381,"0,242455899","0,066049811"
216,IR01,IR010000,IR010000,"33024,37399","3459318,926",33024374005,"0,327117284","0,019404549"
223,DEF,DEF00000,DEF00000,"15532,59924","1149066,913",15532599248,"0,253340876","0,063830205"
222,ES41,ES410000,ES410000,"94227,21475","2625338,264",94227214737,"0,30729113","0,056451468"
