scenario,climate_model,forest_model,exploratory_case,NUTS_ID,year,land use category,management type,variable,unit,value,variable_long_name,surface_area
NA,NA,GLOBIO,NA,PT15,2018,NA,NA,MSA_mean,NA,0.313403716,NA,4992.580187
NA,NA,GLOBIO,NA,EL42,2018,NA,NA,MSA_mean,NA,0.31805384,NA,4664.754453
NA,NA,GLOBIO,NA,HR,2018,NA,NA,MSA_mean,NA,0.322134078,NA,56089.86609
NA,NA,GLOBIO,NA,RO04,2018,NA,NA,MSA_mean,NA,0.320457079,NA,28948.62475
NA,NA,GLOBIO,NA,PL33,2018,NA,NA,MSA_mean,NA,0.259691609,NA,11676.92203
NA,NA,GLOBIO,NA,IT71,2018,NA,NA,MSA_mean,NA,0.282544255,NA,10791.01163
NA,NA,GLOBIO,NA,UKJ,2018,NA,NA,MSA_mean,NA,0.291922797,NA,19074.94765
NA,NA,GLOBIO,NA,ES13,2018,NA,NA,MSA_mean,NA,0.329794451,NA,5307.043347
NA,NA,GLOBIO,NA,AT31,2018,NA,NA,MSA_mean,NA,0.270430878,NA,11990.77525
NA,NA,GLOBIO,NA,HU33,2018,NA,NA,MSA_mean,NA,0.259102495,NA,18332.90614
NA,NA,GLOBIO,NA,SK02,2018,NA,NA,MSA_mean,NA,0.258966412,NA,14991.12477
NA,NA,GLOBIO,NA,LT,2018,NA,NA,MSA_mean,NA,0.322146725,NA,64892.03636
NA,NA,GLOBIO,NA,FI13,2018,NA,NA,MSA_mean,NA,0.284948893,NA,83505.7232
NA,NA,GLOBIO,NA,SE09,2018,NA,NA,MSA_mean,NA,0.278997386,NA,35302.44175
NA,NA,GLOBIO,NA,BL4,2018,NA,NA,MSA_mean,NA,0.284406057,NA,2595.88125
NA,NA,GLOBIO,NA,ITA,2018,NA,NA,MSA_mean,NA,0.249685087,NA,25532.96546
NA,NA,GLOBIO,NA,DE22,2018,NA,NA,MSA_mean,NA,0.24042907,NA,10326.16761
NA,NA,GLOBIO,NA,FR62,2018,NA,NA,MSA_mean,NA,0.288830486,NA,45559.19945
NA,NA,GLOBIO,NA,DEE,2018,NA,NA,MSA_mean,NA,0.235140641,NA,20549.55619
NA,NA,GLOBIO,NA,LV,2018,NA,NA,MSA_mean,NA,0.323280793,NA,64603.28232
NA,NA,GLOBIO,NA,NL22,2018,NA,NA,MSA_mean,NA,0.320702995,NA,5136.840613
NA,NA,GLOBIO,NA,PL52,2018,NA,NA,MSA_mean,NA,0.217255334,NA,9403.832783
NA,NA,GLOBIO,NA,PL34,2018,NA,NA,MSA_mean,NA,0.316576792,NA,20182.56887
NA,NA,GLOBIO,NA,CZ03,2018,NA,NA,MSA_mean,NA,0.320167839,NA,17612.85637
NA,NA,GLOBIO,NA,UKF,2018,NA,NA,MSA_mean,NA,0.236452278,NA,15640.53828
NA,NA,GLOBIO,NA,RO02,2018,NA,NA,MSA_mean,NA,0.320361949,NA,35206.32847
NA,NA,GLOBIO,NA,IT6,2018,NA,NA,MSA_mean,NA,0.255803308,NA,17203.58314
NA,NA,GLOBIO,NA,RO07,2018,NA,NA,MSA_mean,NA,0.319634865,NA,33811.18883
NA,NA,GLOBIO,NA,ES51,2018,NA,NA,MSA_mean,NA,0.260340449,NA,32101.55301
NA,NA,GLOBIO,NA,DE6,2018,NA,NA,MSA_mean,NA,0.298883729,NA,748.0549707
NA,NA,GLOBIO,NA,BL31,2018,NA,NA,MSA_mean,NA,0.236125516,NA,1097.173453
NA,NA,GLOBIO,NA,IT93,2018,NA,NA,MSA_mean,NA,0.282445431,NA,15071.46392
NA,NA,GLOBIO,NA,CZ01,2018,NA,NA,MSA_mean,NA,0.249822488,NA,496.5323421
NA,NA,GLOBIO,NA,HU22,2018,NA,NA,MSA_mean,NA,0.238749453,NA,11159.49302
NA,NA,GLOBIO,NA,DE3,2018,NA,NA,MSA_mean,NA,0.269333342,NA,889.8173072
NA,NA,GLOBIO,NA,UKD,2018,NA,NA,MSA_mean,NA,0.311567775,NA,14150.79582
NA,NA,GLOBIO,NA,PL41,2018,NA,NA,MSA_mean,NA,0.25630831,NA,29835.95794
NA,NA,GLOBIO,NA,DE93,2018,NA,NA,MSA_mean,NA,0.252025525,NA,15594.63823
NA,NA,GLOBIO,NA,IT53,2018,NA,NA,MSA_mean,NA,0.272476603,NA,9733.047422
NA,NA,GLOBIO,NA,EL25,2018,NA,NA,MSA_mean,NA,0.3304931,NA,15458.05251
NA,NA,GLOBIO,NA,ES21,2018,NA,NA,MSA_mean,NA,0.281626291,NA,7533.021192
NA,NA,GLOBIO,NA,SK03,2018,NA,NA,MSA_mean,NA,0.348272286,NA,16242.35771
NA,NA,GLOBIO,NA,UKL,2018,NA,NA,MSA_mean,NA,0.324476785,NA,20790.15307
NA,NA,GLOBIO,NA,DEA4,2018,NA,NA,MSA_mean,NA,0.228662441,NA,6524.895997
NA,NA,GLOBIO,NA,FR82,2018,NA,NA,MSA_mean,NA,0.303968129,NA,31798.72834
NA,NA,GLOBIO,NA,DE92,2018,NA,NA,MSA_mean,NA,0.224250875,NA,9064.764368
NA,NA,GLOBIO,NA,SE08,2018,NA,NA,MSA_mean,NA,0.326089297,NA,164655.8103
NA,NA,GLOBIO,NA,SE01,2018,NA,NA,MSA_mean,NA,0.322521399,NA,5944.781786
NA,NA,GLOBIO,NA,ES23,2018,NA,NA,MSA_mean,NA,0.259995791,NA,5048.569233
NA,NA,GLOBIO,NA,PT17,2018,NA,NA,MSA_mean,NA,0.297967779,NA,2708.881497
NA,NA,GLOBIO,NA,DED,2018,NA,NA,MSA_mean,NA,0.243293925,NA,18462.17235
NA,NA,GLOBIO,NA,NL33,2018,NA,NA,MSA_mean,NA,0.275319744,NA,3098.867181
NA,NA,GLOBIO,NA,HU32,2018,NA,NA,MSA_mean,NA,0.268208544,NA,17711.38883
NA,NA,GLOBIO,NA,SK01,2018,NA,NA,MSA_mean,NA,0.290976392,NA,2050.967461
NA,NA,GLOBIO,NA,FR71,2018,NA,NA,MSA_mean,NA,0.30845815,NA,44857.35412
NA,NA,GLOBIO,NA,PL51,2018,NA,NA,MSA_mean,NA,0.225344113,NA,19936.52047
NA,NA,GLOBIO,NA,FR26,2018,NA,NA,MSA_mean,NA,0.276979538,NA,31754.16456
NA,NA,GLOBIO,NA,BL23,2018,NA,NA,MSA_mean,NA,0.333492686,NA,3008.270262
NA,NA,GLOBIO,NA,BL21,2018,NA,NA,MSA_mean,NA,0.351331987,NA,2872.894905
NA,NA,GLOBIO,NA,AT33,2018,NA,NA,MSA_mean,NA,0.326401686,NA,12633.20283
NA,NA,GLOBIO,NA,DE94,2018,NA,NA,MSA_mean,NA,0.248631813,NA,14837.53453
NA,NA,GLOBIO,NA,DEB2,2018,NA,NA,MSA_mean,NA,0.280500009,NA,4928.646321
NA,NA,GLOBIO,NA,ES43,2018,NA,NA,MSA_mean,NA,0.332725528,NA,41633.77634
NA,NA,GLOBIO,NA,SE06,2018,NA,NA,MSA_mean,NA,0.29268044,NA,69379.17053
NA,NA,GLOBIO,NA,BG02,2018,NA,NA,MSA_mean,NA,0.324544154,NA,17750.91393
NA,NA,GLOBIO,NA,BL33,2018,NA,NA,MSA_mean,NA,0.306638305,NA,3856.368803
NA,NA,GLOBIO,NA,IT52,2018,NA,NA,MSA_mean,NA,0.268835637,NA,8456.797854
NA,NA,GLOBIO,NA,FR24,2018,NA,NA,MSA_mean,NA,0.242455899,NA,39530.55638
NA,NA,GLOBIO,NA,IR01,2018,NA,NA,MSA_mean,NA,0.327117284,NA,33024.37399
NA,NA,GLOBIO,NA,DEF,2018,NA,NA,MSA_mean,NA,0.253340876,NA,15532.59924
NA,NA,GLOBIO,NA,ES41,2018,NA,NA,MSA_mean,NA,0.30729113,NA,94227.21475
NA,NA,GLOBIO,NA,FI1A,2018,NA,NA,MSA_mean,NA,0.277312382,NA,141385.1383
NA,NA,GLOBIO,NA,FR22,2018,NA,NA,MSA_mean,NA,0.222383041,NA,19506.27244
NA,NA,GLOBIO,NA,FR83,2018,NA,NA,MSA_mean,NA,0.329418327,NA,8724.509715
