"NUTS_ID","NUTS_NAME","forest_surface_area_km2","NUTS_surface_area"
"AL01","Veri",3831.83272043103,10820
"AL02","Qender",1780.58780895744,4967
"AL03","Jug",2755.85866861741,13004
"AT11","Burgenland",1180.96268023749,3964
"AT12","Niederösterreich",8088.44594076284,19179
"AT13","Wien",77.4938574938575,415
"AT21","Kärnten",6045.18433179723,9537
"AT22","Steiermark",10863.5803621813,16398
"AT31","Oberösterreich",4679.0292591824,11981
"AT32","Salzburg",3018.7686948444,7154
"AT33","Tirol",4488.43578104139,12648
"AT34","Vorarlberg",924.350388601036,2602
"BE10","Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest",23.1428571428571,162
"BE21","Prov. Antwerpen",507.17212249208,2876
"BE22","Prov. Limburg (BE)",482.280869278894,2429
"BE23","Prov. Oost-Vlaanderen",56.7735849056604,3009
"BE24","Prov. Vlaams-Brabant",173.135630498534,2118
"BE25","Prov. West-Vlaanderen",38.5643638170974,3167
"BE31","Prov. Brabant Wallon",76.2577842143374,1097
"BE32","Prov. Hainaut",437.004189359028,3814
"BE33","Prov. Liège",1317.82393509128,3858
"BE34","Prov. Luxembourg (BE)",2447.86385825348,4461
"BE35","Prov. Namur",1411.70756302521,3676
"BG31","Северозападен",4888.53310502283,19068
"BG32","Северен централен",3911.53760445682,14812
"BG33","Североизточен",2978.02314049587,14648
"BG34","Югоизточен",6911.68690519766,19801
"BG41","Югозападен",10704.6926591123,20301
"BG42","Южен централен",9929.87469327662,22366
"CH01","Région lémanique",2039.89427226363,8717
"CH02","Espace Mittelland",3692.73532363272,10061
"CH03","Nordwestschweiz",857.586899563319,1958
"CH04","Zürich",555.722169362512,1728
"CH05","Ostschweiz",3141.45675050377,11529
"CH06","Zentralschweiz",1557.37129575828,4482
"CH07","Ticino",1380.95454545455,2812
"CY00","Κύπρος",1668.54053461876,9253
"CZ01","Praha",19.5467980295567,496
"CZ02","Střední Čechy",2791.70293282876,10929
"CZ03","Jihozápad",7415.08501259446,17707
"CZ04","Severozápad",3481.42361175062,8649
"CZ05","Severovýchod",4167.15810681164,12441
"CZ06","Jihovýchod",3805.02632649503,13984
"CZ07","Střední Morava",3795.26132250375,9235
"CZ08","Moravskoslezsko",1835.31282202267,5430
"DE11","Stuttgart",3718.2841199721,10556
"DE12","Karlsruhe",3549.86287223823,6917
"DE13","Freiburg",5094.12775872681,9355
"DE14","Tübingen",2969.17715246438,8917
"DE21","Oberbayern",6521.87250996016,17528
"DE22","Niederbayern",3572.82102871978,10328
"DE23","Oberpfalz",4526.58514777713,9691
"DE24","Oberfranken",3312.4030048608,7232
"DE25","Mittelfranken",2597.56635227023,7243
"DE26","Unterfranken",3697.89738239757,8530
"DE27","Schwaben",2804.75096731703,9991
"DE30","Berlin",166.19689119171,891
"DE40","Brandenburg",11595.0160801438,29656
"DE50","Bremen",9.71098265895954,420
"DE60","Hamburg",45.3431839847474,755
"DE71","Darmstadt",3561.5966068727,7445
"DE72","Gießen",2536.74880278624,5382
"DE73","Kassel",3876.54425363276,8288
"DE80","Mecklenburg-Vorpommern",4661.84558870099,23293
"DE91","Braunschweig",2836.72655811342,8116
"DE92","Hannover",1944.19808228159,9065
"DE93","Lüneburg",4623.50717291507,15542
"DE94","Weser-Ems",1539.13621062151,14987
"DEA1","Düsseldorf",760.26318857476,5291
"DEA2","Köln",2484.24795234549,7365
"DEA3","Münster",791.951926243003,6918
"DEA4","Detmold",1322.7012195122,6524
"DEA5","Arnsberg",4176.64097363083,8012
"DEB1","Koblenz",4336.41404805915,8075
"DEB2","Trier",2444.24826216485,4926
"DEB3","Rheinhessen-Pfalz",2658.1652143604,6852
"DEC0","Saarland",1128.10865384615,2571
"DED2","Dresden",2579.22077922078,7944
"DED4","Chemnitz",2029.10784429025,6528
"DED5","Leipzig",583.45080464453,3978
"DEE0","Sachsen-Anhalt",4326.96740614964,20454
"DEF0","Schleswig-Holstein",1451.53607861488,15802
"DEG0","Thüringen",5933.3368952788,16201
"DK01","Hovedstaden",499.180273972603,2559
"DK02","Sjælland",719.37106918239,7224
"DK03","Syddanmark",1363.75906419135,12256
"DK04","Midtjylland",2207.59765502866,13007
"DK05","Nordjylland",1046.12812422154,7879
"EE00","Eesti",23745.3314857935,45336
"EL30","Aττική",599.641094551674,3817
"EL41","Βόρειο Αιγαίο",846.167873424511,3848
"EL42","Νότιο Αιγαίο",288.919977720015,5311
"EL43","Κρήτη",492.817307692308,8346
"EL51","Aνατολική Μακεδονία, Θράκη",5461.74208566108,14186
"EL52","Κεντρική Μακεδονία",5717.7192447635,18838
"EL53","Δυτική Μακεδονία",2860.71501655131,9462
"EL54","Ήπειρος",5014.91267015707,9152
"EL61","Θεσσαλία",4185.75290619086,14050
"EL62","Ιόνια Νησιά",653.89242492156,2301
"EL63","Δυτική Ελλάδα",3967.98988489711,11314
"EL64","Στερεά Ελλάδα",6027.90033865505,15560
"EL65","Πελοπόννησος",4955.38512949039,15509
"ES11","Galicia",23516.6617624284,29571
"ES12","Principado de Asturias",9026.4330634853,10601
"ES13","Cantabria",3678.33769676885,5326
"ES21","País Vasco",5547.48805815161,7229
"ES22","Comunidad Foral de Navarra",4967.18168207838,10391
"ES23","La Rioja",2017.26578133527,5045
"ES24","Aragón",16376.4182194617,47722
"ES30","Comunidad de Madrid",2000.8060822898,8031
"ES41","Castilla y León",26403.7492910645,94225
"ES42","Castilla-La Mancha",23534.8472477229,79458
"ES43","Extremadura",8734.33210958653,41634
"ES51","Cataluña",19416.8932038835,32110
"ES52","Comunitat Valenciana",12499.4544064785,23255
"ES53","Illes Balears",1831.29615674454,4990
"ES61","Andalucía",32009.7286891117,87600
"ES62","Región de Murcia",2320.01662625563,11314
"ES63","Ciudad de Ceuta",12,20
"ES64","Ciudad de Melilla",0,14
"ES70","Canarias",0,7447
"FI19","Länsi-Suomi",50627.0652740588,64763
"FI1B","Helsinki-Uusimaa",6144.62476283738,9568
"FI1C","Etelä-Suomi",24560.8842190237,35379
"FI1D","Pohjois- ja Itä-Suomi",160369.901322999,227120
"FI20","Åland",867.676777251185,1581
"FR10","Ile-de-France",2397.89593062041,12070
"FRB0","Centre — Val de Loire",9136.66813233273,39529
"FRC1","Bourgogne",9850.8196965268,31754
"FRC2","Franche-Comté",9176.9334021683,16308
"FRD1","Basse-Normandie",1655.14960048035,17758
"FRD2","Haute-Normandie",1956.34152652005,12355
"FRE1","Nord-Pas de Calais",796.753485992068,12444
"FRE2","Picardie",2551.92772830814,19505
"FRF1","Alsace",3844.53057624461,8329
"FRF2","Champagne-Ardenne",6698.899486427,25720
"FRF3","Lorraine",9636.17771073893,23669
"FRG0","Pays de la Loire",2611.19751520642,32376
"FRH0","Bretagne",3821.46868309158,27471
"FRI1","Aquitaine",20469.3321247892,41804
"FRI2","Limousin",8474.55453350854,17056
"FRI3","Poitou-Charentes",2875.26261285183,25967
"FRJ1","Languedoc-Roussillon",13251.9179994841,27643
